Respondent ID,Collector ID,How many years have you climbed? (0-1),How many years have you climbed? (2-3),How many years have you climbed? (4-5),How many years have you climbed? (6-8),How many years have you climbed? (9-15),How many years have you climbed? (15+),Hand & Elbow,Shoulder,Spine,Pelvis/Hip,Knee,Foot & Ankle,Other,List Injury,How long did the whole recovery process take before you were climbing at your same grade or better?,How long did the whole recovery process take before you were climbing at your same grade or better?.1,How long did the whole recovery process take before you were climbing at your same grade or better?.2,How long did the whole recovery process take before you were climbing at your same grade or better?.3,How long did the whole recovery process take before you were climbing at your same grade or better?.4,How long did the whole recovery process take before you were climbing at your same grade or better?.5,How long did the whole recovery process take before you were climbing at your same grade or better?.6,How long did the whole recovery process take before you were climbing at your same grade or better?.7,Did you require surgery? And are you satisfied with the surgery?,Did you require surgery? And are you satisfied with the surgery?.1,Did you require surgery? And are you satisfied with the surgery?.2,Did you require surgery? And are you satisfied with the surgery?.3,Did you require surgery? And are you satisfied with the surgery?.4,What surgery did you require?  (leave blank if none)
6599967826,167721399.0,,,3,,,,1,,,,,,,Golfer's elbow,,,3,,,,,,,,3,,,
6599967480,167721399.0,,,3,,,,1,2,,,,,,"Right shoulder, full thicknes tear of the anterior fibers of the supraspinatus tendon measured at 14 x 5 mm. unofficial self diagonoised tendon pulls/strains in fingers",,,,,,,,8,,,3,,,
6599946653,167721399.0,,,,,5,,1,,,,,,,Multiple pulley tears,,,,4,,,,,,,3,,,
6599935434,167721399.0,,,,4,,,,,,,,6,,sprained ankle,,2,,,,,,,,,3,,,
6599921728,167721399.0,,,,,,6,1,2,,,5,6,,Strained pulleys or sheaths of 6/8 fingers. rotator cuff injury. meniscus tear in knee from bouldering. ,,,,4,,,,,,,3,,,
6599906225,167721399.0,,,,,,6,1,2,,,,,7,"pulley, tweaked shoulder, back (but here I'm talking about finger pulley)",,,3,,,,,,,,3,,,
6599886910,167721399.0,,,,4,,,1,,,,,,,Snapped A2 pulley on ring finger.,,,3,,,,,,,,3,,,
6599873241,167721399.0,,,3,,,,1,2,,,,,,"Bursitis, wrist tendonitis",,,,,,,,,,,,,,
6599869849,167721399.0,,,,,,6,1,,,,5,6,,collateral ligament in the thumb,,,,,,,,8,,,3,,,
6599867009,167721399.0,,,3,,,,,,,,,6,,Right Calcaneous Fracture (3 pieces),,,3,,,,,,1,,,,,ORIF including only 3 screws
6599862396,167721399.0,,,,4,,,,2,,,5,6,,Fell ice climbing and broke my talus 2 years ago.,,,,,,,,8,,2,,,,"initially did not need any; but 16 month in had surgery for a bone spur that was blocking the joint. Still lacking full range of motion and strength in the ankle 2 years after the fall. I am back to climbing, but not running yet."
6599832583,167721399.0,,,3,,,,,2,,,,6,,"Torn rotator cuff, talar dome fracture ",,,,,,,,8,1,,,,,Ankle arthroscopy
6599818594,167721399.0,,,3,,,,1,,,,,,,A2 pulley strain,,,,,,,,8,,,3,,,
6599816043,167721399.0,,,,4,,,1,,,,,,,"The tendon that moves your ring finger outwards towards your pinky, partial tear?",,,3,,,,,,,,3,,,
6599811955,167721399.0,,,,4,,,,,,,,6,,sprained ankle from a bad bouldering fall,,,3,,,,,,,,3,,,
6599798128,167721399.0,,,3,,,,1,,,,,,,Finger tendons inflammation ,,,3,,,,,,,,3,,,
6599795297,167721399.0,,,,4,,,1,,3,4,5,6,,"Sciatica from spine, sprained knee, finger synovitis ",,,,,,,,8,,,,4,,
6599790692,167721399.0,,,3,,,,1,2,,,,,7,"pulley tendon in ring finger, RH; ganglion cyst, inner thumb area, RH; rotator strain, LS",,,,,,,,8,,,3,,,"I have not had surgery for the finger or shoulder issue. The shoulder was fine after about 2 months of rest/PT. Finger has been painful for ~8 months, but I haven't fully rested it. For my wrist, I had an ultrasound-guided aspriation as the cyst was restricting mobility and quite painful. That was about a month ago, and so fart the cyst has remained small and it does not hurt yet."
6599784727,167721399.0,,,,,5,,1,2,,,,6,,"A2 pulley, climber’s Elbow, rotator cuff tendinitis",,,3,,,,,,,,3,,,
6599779873,167721399.0,,,,4,,,1,2,,,5,6,,"Torn meniscus, sprained ankle, some mystery shoulder injury that still hurts, torn collateral ligament middle finger, multiple A2 injuries from tweaks to couldn't open doors for 3 months",,,,4,,,,,,,3,,,
6599771635,167721399.0,,,3,,,,1,,,,,,,A2 pulley strain,,,3,,,,,,,,3,,,
6599762599,167721399.0,,,,4,,,1,2,,,5,,,"Finger: Lots of pain in one finger, lasted for a while, disappeared and later came back. It's fine now though! Shoulder: Minor pain after certain tough gaston-moves, nothing serious. Knee: I'm clumsy and hit my knees on the wall or on holds from time to time. Especially left knee, nothing too severe but not really minor either. ",,2,,,,,,,,,3,,,
6599756084,167721399.0,,,,4,,,1,,,,,,,a2 pulley tear index finger,,,,4,,,,,,,3,,,
6599749052,167721399.0,,,,4,,,1,2,3,,,6,,"Ingrown toenails from tight climbing shoes, torn finger skin, sprained wrist, pulled back muscles, various scrapes and cuts, smashed my funny bone so hard I had chronic nerve irritation (sporadic numbness/tingling of the pinky and ring fingers), currently dealing with chronic shoulder pain/inflammation. Luckily never anything very serious.",,,,,,,,8,,,,4,,
6599748788,167721399.0,,,,,5,,1,,,,,6,,,,2,,,,,,,,,3,,,
6599737746,167721399.0,,,,4,,,1,2,,,5,6,,ruptured tendon in fingers,,,,,,,,8,,,3,,,
6599733787,167721399.0,,,,4,,,1,,,,5,,7,"Synovitis (I think) in finger joints. Outer wrist pain. Knee instability, locking, MCL/ACL weakness. Hamstring (not injured while climbing but aggravated by climbing)",,,,,,,,8,,,,4,,
6599730703,167721399.0,,,3,,,,1,,,,,,,Pulley injury in pinky,,,3,,,,,,,,,4,,
6599724135,167721399.0,,,,,,6,1,,,,,,,Lateral epicondylitis; sore PIP middle finger,,,3,,,,,,,,3,,,
6599715428,167721399.0,,,3,,,,,,,,,6,,Broke 3 toes,1,,,,,,,,,,3,,,
6599713793,167721399.0,,,,,5,,1,,,4,5,6,,"Piriformis syndrome, finger pulley and ligament strains/ tears, climbers elbow, various knee issues, sprained ankle, broken foot, broken fingers, finger bruising and many more ",,,,,,,,8,,,,4,,
6599701030,167721399.0,,,,4,,,1,,3,4,5,,,"Fingers, Hamstring tear, etc.",,,,4,,,,,,,3,,,
6599696090,167721399.0,,,,4,,,1,,,,5,6,,"Pulley tendons, ankle, fractured kneecap",,,,4,,,,,1,,,,,
6599689525,167721399.0,,,3,,,,1,,,,,,,"A2 pulley tear, index finger",,,3,,,,,,,,3,,,
6599688518,167721399.0,,,,,5,,1,2,,,5,6,7,Pulled my right gluteus taking a nasty fall doing a heel hook. The ass muscle is a terrible muscle to pull...,,,,,,,,8,,,,4,,
6599688115,167721399.0,,,,,5,,1,2,3,4,5,6,,"Mostly muscle strains, sometimes fairly severe. Had a partial ACL tear after jumping off a boulder warm up at a new gym I wasn’t used to. Had ACL surgery. Pretty sure partially torn labrum right shoulder. Both elbows tendinitis almost gone. Continuous psoas strains it seems like from lifting. Working on it. Maybe not spine per say. ",,2,,,,,,,1,,,,,ACL. Before reinjuring my meniscus it was totally pain free. Think the ACL is completely in tact still had it checked by ortho no MRI though. 
6599686707,167721399.0,,,,,,6,1,2,,,,,7,"Groin, Hamstring, Toe, Ribcage ",,,3,,,,,,,,3,,,
6599682344,167721399.0,,,,4,,,1,2,,4,,,,Rotator cuff,,,3,,,,,,,,,4,,
6599675002,167721399.0,,,3,,,,1,2,,,,,,"A2 pulley strain, tendonitis and tendonosis in elbow, rotator cuff injury ",,,,,,,,8,,,,4,,
6599667737,167721399.0,,,3,,,,1,,,,,,,joint bursitis,1,,,,,,,,,,3,,,
6599666414,167721399.0,,,,4,,,1,,,,,,,Pully strain,,,3,,,,,,,,3,,,
6599663298,167721399.0,,,,4,,,,2,,,,,,Rotator Cuff ,,,,,,,,8,,,3,,,
6599660102,167721399.0,,,,4,,,1,,,,,,,A2 Pulley Tear,,,,,,,,8,,,3,,,
6599645633,167721399.0,,,,4,,,1,,,,,,,"Pulley strain/ partial tear, golfer's elbow",,,,4,,,,,,,3,,,
6599640432,167721399.0,,,,4,,,1,2,,,5,6,,"biceps tendonitis, torn meniscus (bucket handle), countless finger tweaks, broken big toe",,,3,,,,,,1,,,,,arthroscopic surgery to remove the torn meniscus piece
6599637132,167721399.0,,,3,,,,1,2,,,5,6,,"climbers elbow, lumbrical tear in hand, sprained ankle, wrist inflammation, partial rotator cuff tear, ruptured patellar tendon",,,,,,,,8,1,,,,,Patellar tendon repair
6599627060,167721399.0,,,3,,,,1,2,,,,,7,"A few popped pulleys, golfers and tennis elbow, tendonitis and shoulder subluxation",,2,,,,,,,,,3,,,
6599611081,167721399.0,,,3,,,,1,,,,,,,"Golfers elbow, Tennis elbow",,,3,,,,,,,,3,,,
6599605949,167721399.0,,,3,,,,1,2,,,,,7,"Most severe was a partially torn A2 and A4 pulley. Separate incidents, similar recovery time  ",,,3,,,,,,,,3,,,
6599602842,167721399.0,,,,4,,,,,,,,6,,Several broken bones in foot and ankle on both feet,,,,,5,,,,1,,,,,Inserted an metal plate and screws into my foot
6599597837,167721399.0,,,,,5,,1,,,,,6,,1. Tendonitis in middle finger.  2.Mild sprain in toe.,,2,,,,,,,,,3,,,
6599587601,167721399.0,,,,,5,,1,,,4,,,,"a2 pulley injury, hip/leg pain from bad landing",,,,4,,,,,,,3,,,
6599579340,167721399.0,,,3,,,,1,,,,,,,Medial epicondylitis,,,3,,,,,,,,3,,,
6599566080,167721399.0,,,3,,,,1,,,,,,,Ulnar nerve trapping,,,3,,,,,,,,3,,,
6594674598,167721399.0,,,,,5,,,,,,,,,"R knee MCL, L knee LCL, R semitendinosis rupture",,2,,,,,,,,,3,,,
TOTAL,,47,87,34,38,20,9,181,75,16,12,32,86,30,233,36,37,68,34,6,1,5,46,25,2,157,49,,
,,0.19831223628692,0.367088607594937,0.143459915611814,0.160337552742616,0.0843881856540084,0.0379746835443038,0.763713080168776,0.316455696202532,0.0675105485232068,0.0506329113924051,0.135021097046414,0.362869198312236,0.126582278481013,,0.151898734177215,0.156118143459916,0.286919831223629,0.143459915611814,0.0253164556962025,0.00421940928270042,0.0210970464135021,0.194092827004219,0.105485232067511,0.00843881856540084,0.662447257383966,0.206751054852321,,
,,2.37974683544304,8.81012658227848,8.60759493670886,13.4683544303797,10.6329113924051,7.74683544303798,,,,,,,,182 returned to sport,0.197802197802198,0.203296703296703,0.373626373626374,0.186813186813187,0.032967032967033,0.0054945054945055,xx,xx,,,,,,
,,4.30379746835443,,,,,avg grade,,,,,,,,,,,,,,,,unable to return to sport,,,,,,
,,,9,5,9,4,,13,11,4,1,5,17,3,percent in op group,surgical recovery count,,,,,,,op,nonop,,0.218884120171674,,,
,,,0.333333333333333,0.185185185185185,0.333333333333333,0.148148148148148,,0.481481481481481,0.407407407407407,0.148148148148148,0.037037037037037,0.185185185185185,0.62962962962963,0.111111111111111,,,1,7,6,5,,,8,43,,,,,
,,,8,11.1111111111111,28,18.6666666666667,,0.240740740740741,0.203703703703704,0.0740740740740741,0.0185185185185185,0.0925925925925926,0.314814814814815,0.0555555555555556,,,"check, total surgeries",,,,,,,,,,,,
,,65.7777777777778,5.48148148148148,,,,surg grade,,,,,,,,,27,0.0333333333333333,0.233333333333333,0.2,0.166666666666667,0,0,0.296296296296296,0.184331797235023,,,,,
,,47,78,29,29,16,9,168,64,12,11,27,69,27,,9.13157894736842,recovery in months avg,,,,,,,,,,,,
,,0.223809523809524,0.371428571428571,0.138095238095238,0.138095238095238,0.0761904761904762,0.0428571428571429,0.8,0.304761904761905,0.0571428571428571,0.0523809523809524,0.128571428571429,0.328571428571429,0.128571428571429,,,,,,,,,,,,,,,
,,2.68571428571429,8.91428571428572,8.28571428571429,11.6,9.6,8.74285714285714,0.444444444444444,0.169312169312169,0.0317460317460317,0.0291005291005291,0.0714285714285714,0.182539682539683,0.0714285714285714,,nonop recovery,,,,,,,,,,,,,
,,49.8285714285714,4.15238095238095,,,,nonop grade,,,,,,,,,36,36,61,28,1,1,5,38,,,,,,
